ProviderID,PotentialFraud,Total_Claims,Unique_Patients,Total_Paid,Avg_Paid_Per_Claim,Max_Claim_Amount,Inpatient_Claims,Outpatient_Claims,Fraud_Reimbursed_Amt,Legit_Reimbursed_Amt,Fraud_Rate_Pct
PRV54914,No,28,14,110680,3952.86,24000,14,14,0,110680,0
PRV54739,Yes,50,45,598820,11976.4,57000,45,5,598820,0,100
PRV54139,No,7,5,39250,5607.14,25000,5,2,0,39250,0
PRV54454,No,1,1,100,100,100,0,1,0,100,0
PRV52410,No,2,2,100,50,70,0,2,0,100,0
PRV51344,No,2,2,19000,9500,10000,2,0,0,19000,0
PRV53802,No,46,42,448000,9739.13,37000,46,0,0,448000,0
PRV57171,No,11,6,7890,717.27,4000,3,8,0,7890,0
PRV51838,No,4,4,780,195,700,0,4,0,780,0
PRV56233,No,8,1,11210,1401.25,2400,0,8,0,11210,0
PRV51579,No,18,17,236000,13111.11,57000,18,0,0,236000,0
PRV54906,No,8,8,120000,15000,57000,8,0,0,120000,0
PRV52427,No,4,4,30040,7510,18000,3,1,0,30040,0
PRV55423,No,3,1,250,83.33,100,0,3,0,250,0
PRV52105,No,1,1,50,50,50,0,1,0,50,0
PRV57347,No,22,21,117340,5333.64,17000,17,5,0,117340,0
PRV56125,No,7,7,45000,6428.57,9000,7,0,0,45000,0
PRV53143,No,4,3,64000,16000,24000,4,0,0,64000,0
PRV56451,No,10,4,1850,185,800,0,10,0,1850,0
PRV55492,Yes,25,23,276000,11040,32000,25,0,276000,0,100
PRV55910,No,5,3,860,172,800,0,5,0,860,0
PRV56044,No,26,14,284880,10956.92,125000,16,10,0,284880,0
PRV56218,No,7,7,35060,5008.57,8000,6,1,0,35060,0
PRV57198,No,4,4,16000,4000,8000,3,1,0,16000,0
PRV57165,No,4,4,34500,8625,20000,3,1,0,34500,0
PRV56013,No,4,4,980,245,400,0,4,0,980,0
PRV57036,No,2,2,2120,1060,2100,0,2,0,2120,0
PRV55792,No,1,1,7000,7000,7000,1,0,0,7000,0
PRV53417,Yes,8,8,76090,9511.25,22000,7,1,76090,0,100
PRV52170,No,3,3,53000,17666.67,44000,3,0,0,53000,0
PRV51443,No,3,3,12200,4066.67,8000,2,1,0,12200,0
PRV53248,No,5,4,74000,14800,34000,5,0,0,74000,0
PRV53794,No,2,1,180,90,100,0,2,0,180,0
PRV57208,No,14,14,197560,14111.43,86000,10,4,0,197560,0
PRV52891,No,2,2,140,70,100,0,2,0,140,0
PRV55820,No,6,6,1390,231.67,900,0,6,0,1390,0
PRV53005,Yes,16,14,160200,10012.5,37000,16,0,160200,0,100
PRV51811,No,15,15,199000,13266.67,57000,15,0,0,199000,0
PRV57304,No,3,3,42000,14000,16000,3,0,0,42000,0
PRV57059,No,1,1,600,600,600,0,1,0,600,0
PRV51779,No,1,1,50,50,50,0,1,0,50,0
PRV57561,No,3,3,11260,3753.33,11000,1,2,0,11260,0
PRV56479,No,4,2,110,27.5,60,0,4,0,110,0
PRV55209,Yes,284,249,2757570,9709.75,57000,275,9,2757570,0,100
PRV51438,No,2,2,15000,7500,9000,2,0,0,15000,0
PRV56068,No,2,2,130,65,70,0,2,0,130,0
PRV53238,No,11,11,98080,8916.36,32000,9,2,0,98080,0
PRV52684,No,11,8,71930,6539.09,36000,5,6,0,71930,0
PRV53499,No,3,1,550,183.33,400,0,3,0,550,0
PRV54063,No,1,1,3000,3000,3000,1,0,0,3000,0
PRV53323,No,1,1,30,30,30,0,1,0,30,0
PRV56158,No,1,1,10,10,10,0,1,0,10,0
PRV56643,No,8,7,67000,8375,12000,8,0,0,67000,0
PRV55984,No,5,4,1400,280,1200,0,5,0,1400,0
PRV53360,No,1,1,200,200,200,0,1,0,200,0
PRV51066,No,4,3,19130,4782.5,15000,2,2,0,19130,0
PRV53992,No,3,1,530,176.67,500,0,3,0,530,0
PRV51356,No,18,18,167060,9281.11,39000,17,1,0,167060,0
PRV54101,No,11,10,60000,5454.55,17000,11,0,0,60000,0
PRV51599,No,3,3,16000,5333.33,7000,3,0,0,16000,0
PRV57627,No,1,1,40,40,40,0,1,0,40,0
PRV56613,No,4,3,570,142.5,400,0,4,0,570,0
PRV51038,No,35,29,232900,6654.29,17000,30,5,0,232900,0
PRV55246,No,9,8,790,87.78,200,0,9,0,790,0
PRV56266,No,4,1,520,130,400,0,4,0,520,0
PRV51495,Yes,90,77,835000,9277.78,57000,90,0,835000,0,100
PRV55179,No,16,16,151000,9437.5,25000,16,0,0,151000,0
PRV54375,No,16,13,131000,8187.5,17000,16,0,0,131000,0
PRV57350,No,9,7,65000,7222.22,18000,9,0,0,65000,0
PRV54886,No,1,1,20,20,20,0,1,0,20,0
PRV53077,No,2,2,240,120,200,0,2,0,240,0
PRV53889,No,16,14,61090,3818.13,19000,9,7,0,61090,0
PRV51348,No,20,20,146040,7302,28000,19,1,0,146040,0
PRV51464,No,2,2,600,300,600,0,2,0,600,0
PRV52851,No,9,9,61080,6786.67,16000,8,1,0,61080,0
PRV56654,No,2,1,180,90,100,0,2,0,180,0
PRV55606,No,4,3,40000,10000,24000,4,0,0,40000,0
PRV55013,No,2,1,50,25,40,0,2,0,50,0
PRV52468,No,3,3,29000,9666.67,18000,3,0,0,29000,0
PRV53786,Yes,60,44,346410,5773.5,28000,36,24,346410,0,100
PRV56136,No,2,2,6080,3040,6000,1,1,0,6080,0
PRV55957,Yes,26,24,217140,8351.54,57000,22,4,217140,0,100
PRV56140,No,16,16,128000,8000,31000,16,0,0,128000,0
PRV56546,No,9,9,80000,8888.89,29000,9,0,0,80000,0
PRV57223,Yes,35,32,275700,7877.14,57000,34,1,275700,0,100
PRV52310,No,8,3,830,103.75,400,0,8,0,830,0
PRV54745,No,19,17,81300,4278.95,14000,10,9,0,81300,0
PRV56421,Yes,49,41,487130,9941.43,79000,46,3,487130,0,100
PRV52032,Yes,64,63,538800,8418.75,26000,56,8,538800,0,100
PRV56170,No,8,8,72000,9000,14000,8,0,0,72000,0
PRV54052,No,6,6,75000,12500,27000,6,0,0,75000,0
PRV55809,No,10,9,62000,6200,16000,10,0,0,62000,0
PRV55360,No,1,1,10,10,10,0,1,0,10,0
PRV51037,Yes,35,27,215400,6154.29,23000,23,12,215400,0,100
PRV57434,No,12,7,5560,463.33,2800,0,12,0,5560,0
PRV56467,No,5,5,1890,378,1800,0,5,0,1890,0
PRV52578,Yes,38,29,348000,9157.89,41000,37,1,348000,0,100
PRV52118,No,5,5,99000,19800,57000,4,1,0,99000,0
PRV55929,No,6,4,990,165,600,0,6,0,990,0
PRV57312,Yes,8,3,6160,770,3300,0,8,6160,0,100
PRV52393,No,20,13,180100,9005,37000,16,4,0,180100,0
PRV52478,No,6,6,21300,3550,6000,5,1,0,21300,0
PRV55232,No,29,28,278990,9620.34,58000,28,1,0,278990,0
PRV56589,No,4,4,31000,7750,12000,4,0,0,31000,0
PRV51647,No,6,6,43700,7283.33,17000,6,0,0,43700,0
PRV53119,Yes,3,3,24000,8000,18000,3,0,24000,0,100
PRV53759,No,2,2,970,485,900,0,2,0,970,0
PRV54639,No,13,12,110000,8461.54,41000,13,0,0,110000,0
PRV55732,No,12,12,154000,12833.33,54000,12,0,0,154000,0
PRV54204,No,4,4,62200,15550,49000,4,0,0,62200,0
PRV53457,No,1,1,60,60,60,0,1,0,60,0
PRV55049,Yes,76,71,686030,9026.71,49000,75,1,686030,0,100
PRV53891,No,1,1,10,10,10,0,1,0,10,0
PRV54326,No,5,4,20000,4000,9000,5,0,0,20000,0
PRV55898,No,1,1,100,100,100,0,1,0,100,0
PRV56222,No,2,2,10,5,10,0,2,0,10,0
PRV54931,Yes,24,22,242000,10083.33,37000,24,0,242000,0,100
PRV54657,No,17,17,287000,16882.35,101000,17,0,0,287000,0
PRV57567,No,8,7,112060,14007.5,57000,7,1,0,112060,0
PRV52124,Yes,7,7,148000,21142.86,43000,7,0,148000,0,100
PRV52042,No,2,2,9020,4510,9000,1,1,0,9020,0
PRV57115,No,1,1,10000,10000,10000,1,0,0,10000,0
PRV51622,No,13,13,54680,4206.15,13000,9,4,0,54680,0
PRV57184,No,4,4,32060,8015,25000,2,2,0,32060,0
PRV51477,No,1,1,90,90,90,0,1,0,90,0
PRV55678,No,10,10,128780,12878,36000,9,1,0,128780,0
PRV54425,No,4,4,73000,18250,29000,4,0,0,73000,0
PRV53832,No,1,1,500,500,500,0,1,0,500,0
PRV55135,No,3,3,25000,8333.33,19000,3,0,0,25000,0
PRV55441,No,9,8,59110,6567.78,12000,7,2,0,59110,0
PRV54789,No,3,3,30000,10000,14000,3,0,0,30000,0
PRV55337,No,1,1,10,10,10,0,1,0,10,0
PRV54261,No,2,2,70,35,70,0,2,0,70,0
PRV55955,No,5,5,620,124,300,0,5,0,620,0
PRV52149,No,18,18,154070,8559.44,44000,16,2,0,154070,0
PRV55866,No,4,3,250,62.5,100,0,4,0,250,0
PRV56826,No,4,4,18000,4500,7000,4,0,0,18000,0
PRV53874,No,6,6,1470,245,900,0,6,0,1470,0
PRV52059,Yes,29,18,162460,5602.07,41000,13,16,162460,0,100
PRV54465,No,1,1,80,80,80,0,1,0,80,0
PRV55764,No,2,2,4040,2020,4000,1,1,0,4040,0
PRV57357,No,15,12,113000,7533.33,21000,15,0,0,113000,0
PRV51941,No,3,3,11240,3746.67,11000,2,1,0,11240,0
PRV56909,No,3,2,17000,5666.67,7000,3,0,0,17000,0
PRV51288,No,3,3,37000,12333.33,29000,3,0,0,37000,0
PRV55426,No,8,1,1690,211.25,1100,0,8,0,1690,0
PRV55181,No,40,33,334340,8358.5,31000,35,5,0,334340,0
PRV55434,No,8,8,60000,7500,15000,8,0,0,60000,0
PRV51204,No,11,9,1900,172.73,800,0,11,0,1900,0
PRV52304,No,2,2,300,150,200,0,2,0,300,0
PRV53399,Yes,8,8,67400,8425,16000,7,1,67400,0,100
PRV54559,No,25,22,245040,9801.6,43000,24,1,0,245040,0
PRV54925,Yes,42,35,456900,10878.57,57000,39,3,456900,0,100
PRV53845,No,2,2,190,95,100,0,2,0,190,0
PRV51137,No,3,3,6180,2060,6000,1,2,0,6180,0
PRV54691,No,8,8,84200,10525,41000,7,1,0,84200,0
PRV54389,No,1,1,100,100,100,0,1,0,100,0
PRV56404,No,1,1,100,100,100,0,1,0,100,0
PRV57550,No,3,2,310,103.33,200,0,3,0,310,0
PRV54071,No,10,10,78270,7827,20000,8,2,0,78270,0
PRV53692,Yes,147,126,1366490,9295.85,57000,146,1,1366490,0,100
PRV52841,No,1,1,13000,13000,13000,1,0,0,13000,0
PRV51954,No,36,35,272830,7578.61,57000,23,13,0,272830,0
PRV55892,No,7,2,1660,237.14,1300,0,7,0,1660,0
PRV57148,No,16,10,176130,11008.13,25000,15,1,0,176130,0
PRV52542,No,3,3,590,196.67,500,0,3,0,590,0
PRV54216,No,11,11,150600,13690.91,33000,10,1,0,150600,0
PRV57218,No,7,4,2240,320,900,0,7,0,2240,0
PRV53103,No,9,9,77050,8561.11,33000,7,2,0,77050,0
PRV56793,No,3,2,44000,14666.67,20000,3,0,0,44000,0
PRV51236,No,1,1,12000,12000,12000,1,0,0,12000,0
PRV52320,Yes,72,65,799370,11102.36,57000,69,3,799370,0,100
PRV54306,No,1,1,60,60,60,0,1,0,60,0
PRV51823,No,8,8,44000,5500,12000,8,0,0,44000,0
PRV53620,No,9,8,38170,4241.11,10000,6,3,0,38170,0
PRV57391,No,1,1,900,900,900,0,1,0,900,0
PRV56437,Yes,51,36,289180,5670.2,23000,39,12,289180,0,100
PRV53029,No,4,3,38000,9500,21000,4,0,0,38000,0
PRV51935,No,3,3,22000,7333.33,12000,3,0,0,22000,0
PRV53917,No,9,7,55800,6200,28000,7,2,0,55800,0
PRV51637,No,8,8,38030,4753.75,19000,7,1,0,38030,0
PRV52622,No,4,4,16000,4000,7000,4,0,0,16000,0
PRV54402,No,7,7,58050,8292.86,20000,6,1,0,58050,0
PRV53409,No,3,3,24000,8000,12000,3,0,0,24000,0
PRV54239,No,1,1,30,30,30,0,1,0,30,0
